horse_name,section,show_class,show,rider,place,entries,points
Horse: Gin Fizz        #18720   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #3,Heather Taillac,6,9,3
Horse: Gina Balou        #15800   ,Green Hunter 3',"$200 Green Hunter 3'0""(Incentive Score)",World Equestrian Center Winter Classic #19,Michaella T. Gerlacher,1,9,10
Horse: Gini C        #14888   ,Low Children's Jumper,$750 Low Children's Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Eva Duignan,10,28,0
Horse: Giuseppe        #20028   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2' U/S,World Equestrian Ocala Winter Spectacular #7,Veronica Grajewski,7,27,2
Horse: Giviera        #16282   ,"Green Hunter 3'9""","$200 High Perf/Green Hunter 3'6"" & 3'9"" U/S",World Equestrian Center Winter Classic #19,Tina Judge-Boyle,3,6,6
Horse: GK Angelika        #17438   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 340.c,World Equestrian Ocala Winter Spectacular #1,Linda Bammann,4,7,5
Horse: Gladstone        #21510   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #10,Madison Berger,5,25,4
Horse: Gladstone        #22124   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #12,Madison Berger,8,41,1
Horse: Glasic bruers z        #19390   ,1.20m Jumper,$500 1.20 Meter Jumper - No Nomination Fee 340.c,World Equestrian Ocala Winter Spectacular #6,Alexis P. Bodo,5,40,4
Horse: Glasic bruers z        #20961   ,1.30m Jumper,$1000 1.30 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #8,Candice King,7,51,2
Horse: Glen        #20507   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #7,Adrienne Iverson,12,37,0
Horse: Glenahaven Park Lane        #17848   ,Large Green Pony Hunter,Green Pony Hunter Model,World Equestrian Ocala Winter Spectacular #2,Casey Oliver,2,4,7
Horse: Glenavadora High Altitude        #18034   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #2,Lisa Manning,6,18,3
Horse: Glimmer Glass        #10896   ,Intermediate Adult Hunter,Intermediate Adult Hunter U/S,World Equestrian Center Winter Classic #17,Kim Mccrea Earnest,3,20,6
Horse: Glitter Glider        #17468   ,Adult Jumper,$1000 Low Jr/Am/AO Jumper 1.20-1.25 339.a,World Equestrian Ocala Winter Spectacular #5,Caroline Blum,7,38,2
Horse: Global Ex        #19383   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #5,Hallie Coon,8,61,1
Horse: Global Express Vdl        #19311   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #5,Karl Hancock,5,25,4
Horse: Global Impact        #22237   ,Green Hunter 3',"$200 Green Hunter 3'0""",World Equestrian Center Winter Classic #17,Melissa P. Donnelly,1,7,8
Horse: Glorix van de mispelaere        #18668   ,1.30m Jumper,$1000 1.30 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #3,Jenna P. Friedman,5,9,4
Horse: Glory of Power        #20655   ,.65m Jumper Children's/Adult,$100 .65m Jumper Child/Adult 343.b,World Equestrian Ocala Winter Spectacular #8,Maya Hannin,5,21,4
Horse: Gluckskeks        #17521   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Sam Pegg,2,7,7
Horse: Glynnwood Mer Calido        #17513   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #2,Kasey Cadle,8,16,1
Horse: Go On Top DVE        #15720   ,Adult Hunter 18-35,$200 Adult Amateur 18-35 (1st round Classic),World Equestrian Ocala Winter Spectacular #3,Eva Bernstein,2,20,7
Horse: God's Angel        #15150   ,Short Stirrup Hunter,Opportunity Short Stirrup Hunter U/S,World Equestrian Center Winter Classic #18,Katelyn Votel,7,13,2
Horse: Goedele        #16864   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #4,Madison Booher,4,23,5
Horse: Gold Medal Ribbon        #16175   ,Large Pony Hunter,"$300 Large Pony Hunter 2'9""",World Equestrian Ocala Winter Spectacular #11,Alice B Norment,4,4,5
Horse: Gold Strike        #18469   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #3,Madison K. Lapine,5,19,4
Horse: Golden Gait        #16817   ,Limit/Long Stirrup Hunter,Opportunity Limit Hunter U/S,World Equestrian Center Winter Classic #17,Lilyana Reiner,4,12,5
Horse: Golden Grace        #20408   ,Children's Pony Hunter Large,"$100 Children's Pony Hunter Large 2'6"" (1st roun",World Equestrian Ocala Winter Spectacular #7,Hayley Rowlette,8,10,1
Horse: Golden Gun        #19419   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #5,Robert Pascente,5,28,4
Horse: Golden Humphrey        #10901   ,"Junior Hunter 3'3"" 15 & under","$600 Junior Hunter 3'3"" 15&U(1st round Classic)",World Equestrian Ocala Winter Spectacular #6,Maggie Wren,5,8,4
Horse: Golden Opportunity        #19036   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Kris Killam,7,11,2
Horse: Golden Opportunity        #19418   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #5,Kris Killam,4,9,5
Horse: Golden Rule        #19138   ,USHJA/NSBA 2' Hunter,USHJA Hunter 2',World Equestrian Center Winter Classic #17,francesca peters,6,30,3
Horse: Golden Ticket        #19971   ,"Junior Hunter 3'3"" 15 & under","$300 Junior Hunter 3'3"" 15&U",World Equestrian Ocala Winter Spectacular #7,Addison McQuaker,2,8,7
Horse: Goldfish        #14441   ,Adult Jumper,$200 Adult Amateur Jumper 1.10m 2.2b,World Equestrian Center Winter Classic #17,Kiera C. Phlipot,8,12,1
Horse: Goldfish        #17939   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3""",World Equestrian Ocala Winter Spectacular #2,Josh Dolan,2,15,7
Horse: Goldmark        #20591   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #8,Grace Debney,4,29,5
Horse: Goldrush        #19702   ,Medium Pony Hunter,Medium Pony Hunter Model,World Equestrian Ocala Winter Spectacular #6,Evana Somareddy,3,6,3
Horse: Goldwave        #21679   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #11,Willow Klute,4,21,5
Horse: Goldwin        #19520   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #7,Avery Withrow,4,11,5
Horse: Goliath        #17500   ,Medium Jr/AO Jumper,$1000 Med Jr/Am/Am Own 1.30m/1.35m 340.c,World Equestrian Ocala Winter Spectacular #1,Addison Reed,5,10,4
Horse: Gomarus        #20762   ,Medium Jr/AO Jumper,$5000 Medium Jr/Am/AO Classic 1.30m 340.c,World Equestrian Ocala Winter Spectacular #8,Anne Berg,5,28,4
Horse: Gone Girl Z        #17391   ,Adult Jumper,$2500 Adult Amateur Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #1,Grace Zdravko,9,17,0
Horse: Gone West        #14813   ,Green Pony Hunter,$100 Green Pony Hunter U/S,World Equestrian Center Winter Classic #1,Madison Schmidt,4,4,5
Horse: Good Boy H M        #21809   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #11,Hannah Murrin,1,21,10
Horse: Good Lookin Mechanic        #20057   ,Baby Green Hunter,"Baby Green Hunter 2'6"" U/S",World Equestrian Ocala Winter Spectacular #7,Tyler Haney,7,23,2
Horse: Good Luck        #21579   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #11,Jennifer Ritucci,4,9,5
Horse: Good Mornin        #19229   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" (California Split)",World Equestrian Ocala Winter Spectacular #5,,7,42,2
Horse: Good Mornin        #21245   ,Green Hunter 3',"$150 Green Hunter 3'0"" U/S",World Equestrian Ocala Winter Spectacular #9,Donald M. Sheehan,2,17,7
Horse: Good Mornin        #21485   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #10,Donald M. Sheehan,3,19,6
Horse: Good Mornin        #20895   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" (California Split)",World Equestrian Ocala Winter Spectacular #8,Donald M. Sheehan,8,47,1
Horse: Good Mornin        #19749   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" (California Split)",World Equestrian Ocala Winter Spectacular #6,Donald M. Sheehan,2,41,7
Horse: Good Save        #18078   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #12,Jenna Tomaselli,8,16,1
Horse: Good Time        #20270   ,1.30m Jumper,$1000 1.30 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Peter Leone,5,42,4
Horse: Good Times        #10905   ,Limit/Long Stirrup Hunter,Opportunity Limit Hunter 2',World Equestrian Center Winter Classic #18,Grace Emison,3,10,6
Horse: Good Vision        #10906   ,Adult Hunter 36 and over,$100 Adult Amateur Hunter 36-49 U/S,World Equestrian Ocala Winter Spectacular #11,Emily Miller,3,4,6
Horse: Goodnight Moon        #16477   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #1,Kira Copeland,5,8,4
Horse: Gorgeous Wb        #17403   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #1,Kalie Hargrove,5,18,4
Horse: Gorki Vd Wezelse Heihoeve        #14896   ,"Performance Hunter 3'6""","$300 Performance Hunter 3'6""",World Equestrian Center Winter Classic #17,Karen McFarland,4,4,5
Horse: Gossip SA        #19688   ,"Large Junior Hunter 3'6""","$400 Large Junior Hunter 3'6"" 15 and under",World Equestrian Ocala Winter Spectacular #6,Amira Kettaneh,3,13,6
Horse: Grace        #21223   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO 1.20m 340.c,World Equestrian Ocala Winter Spectacular #9,Kara Constantakos,8,16,1
Horse: Graceland        #19540   ,Baby Green Hunter,"Baby Green Hunter 2'6"" U/S",World Equestrian Ocala Winter Spectacular #9,Harrison C. Ford,4,13,5
Horse: Gracias        #17301   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #2,Lily Johnson,8,13,1
Horse: Gracieux Van Seven Oaks        #16701   ,Low Jr/AO Jumper,$400 Low Jr/Amateur Owner Jumper 1.20m/1.25m 2.2,World Equestrian Center Winter Classic #19,McKenzie Evon,3,8,6
Horse: Graf Amadeus        #21574   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #11,Michelle Stopford,6,19,3
Horse: Graffiti        #18281   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #2,Kylie Jo Perkins,6,24,3
Horse: Grafton Street        #17279   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #4,Kelly K. Kaiser,7,11,2
Horse: Graham Nash        #17065   ,3 & 4 Year Old Hunter,"3 & 4 Year Old Hunter 2'6""-2'9""",World Equestrian Ocala Winter Spectacular #4,Carolyn Meng,2,2,0
Horse: Grammy Jo        #17485   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #10,Bree Rosales,2,17,7
Horse: Grand Flicka        #16564   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #7,Lotus Chang,7,16,2
Horse: Grand J'ete        #20586   ,Future Hunter,Future Hunter U/S,World Equestrian Ocala Winter Spectacular #8,Emilia West,2,8,7
Horse: Grand Tour        #14782   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #1,Melissa P. Donnelly,9,9,0
Horse: Grande Nearco        #18516   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 36-49,World Equestrian Ocala Winter Spectacular #12,Suzanne V. Shearin,4,5,5
Horse: Granite Bay        #16960   ,Intermediate Adult Hunter,"Intermediate Adult Hunter (1st Rnd Classic) 2'6""",World Equestrian Center Winter Classic #18,Amy Bailey,7,31,2
Horse: Granted        #15166   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #4,Allison L. McBreen,7,15,2
Horse: Gray Area        #14313   ,"USHJA 2'6"" Hunter","USHJA Hunter 2'6"" U/S",World Equestrian Center Winter Classic #2,Breanna Hertz,2,6,7
Horse: Gray Lad        #18321   ,Novice Children's/Adult Jumper,$500 Novice Adult Jumper Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #2,Meg Cooke,7,24,2
Horse: Grayson        #20381   ,"Young Hunter 2'9""-3'-3'3""","Young Hunter 2'9""",World Equestrian Ocala Winter Spectacular #7,Marquee Cincotta,3,5,6
Horse: Grayson        #21830   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #11,Jennifer Greene,3,15,6
Horse: Grayson        #21592   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #11,Marquee Cincotta,8,21,1
Horse: Grayson        #20866   ,"Young Hunter 2'9""-3'-3'3""",Young Hunter,World Equestrian Ocala Winter Spectacular #8,Marquee Cincotta,5,8,4
Horse: Great As Iz        #18006   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #2,Lila Jabara,2,22,7
Horse: Greeley's Magic        #14593   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #2,Jessica Stone,6,16,3
Horse: Greeley's Magic        #10918   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #3,Jessica Stone,8,16,1
Horse: Grey Hill Evianna        #21935   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2' U/S,World Equestrian Ocala Winter Spectacular #12,Ava O'Donnell,1,33,10
Horse: Greyhavens Meg        #22423   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Center Winter Classic #18,Ashley K. Stumm,6,14,3
Horse: Greymeadows Bedazzled        #22566   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Center Winter Classic #19,Lindsay M. Arbino,7,9,2
Horse: Greymeadows On Pointe        #21058   ,"USHJA/NSBA 2'6"" Hunter","USHJA Hunter 2'6"" U/S",World Equestrian Center Winter Classic #18,Aubrey Kwekel,3,18,6
Horse: Griffin        #13818   ,Intermediate Adult Hunter,Intermediate Adult Hunter U/S,World Equestrian Center Winter Classic #18,Katherine P. Donovan,6,27,3
Horse: Groovy        #20575   ,Children's Hunter 15-17,$100 Children's Hunter 15-17 U/S,World Equestrian Ocala Winter Spectacular #8,Derek Holt,8,19,1
Horse: Groovy Dude        #17911   ,Future Hunter,Future Hunter U/S,World Equestrian Ocala Winter Spectacular #2,Marlee Howard,8,8,1
Horse: Guardiola        #21330   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #10,Caitlin Maloney,4,19,5
Horse: Guest List        #13869   ,"Performance Hunter 3'3""","$200 Performance Hunter 3'3"" U/S",World Equestrian Center Winter Classic #19,Holly Helbig,2,3,7
Horse: Guilty As Charged        #19190   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #6,Melissa Duran,6,27,3
Horse: Guiness BF        #13961   ,Limit Hunter,Opportunity Limit Hunter 2',World Equestrian Winter Classic #16 USEF Reg II/L4,Kelley Davis,3,3,6
Horse: Guinevere        #18519   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3' U/S (California Split),World Equestrian Ocala Winter Spectacular #8,Amanda P. Steege,6,24,3
Horse: Gukato        #18611   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Shelby Davis,7,19,2
Horse: Gulliver wolf        #17303   ,Intermediate Children's Hunter,$50 Intermediate Children's Hunter U/S,World Equestrian Ocala Winter Spectacular #1,Alannah Pepper,5,11,4
Horse: Gunslingin' Bully        #14682   ,Novice Children's/Adult Jumper,Novice Children's/Adult Jumper .90-.95m 2.2d,World Equestrian Center Winter Classic #17,Emma Miklos,2,13,7
Horse: Guru        #19672   ,"Amateur Owner Hunter 3'6"" 36 and over","$400 Amateur Owner Hunter 3'6"" 36 and over",World Equestrian Ocala Winter Spectacular #6,Kristiina Claffee,2,3,7
Horse: Gussied Up        #21506   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #10,Harrison C. Ford,6,15,3
Horse: Gussied Up        #21674   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #11,Harrison C. Ford,6,20,3
Horse: Gussied Up        #21265   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" U/S",World Equestrian Ocala Winter Spectacular #9,Harrison C. Ford,2,22,7
Horse: Gussied Up        #19529   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #6,Kasey Evans,2,28,7
Horse: Gwen Mc 1        #14394   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Hayley Anderson,3,26,6
Horse: Gyloma        #22636   ,Open Jumper by Points,$1000 1.30 Meter Jumper 2.1,World Equestrian Center Winter Classic #19,Erika Thornell,2,10,7
Horse: H Consuela        #17427   ,Low Jr/AO Jumper,$5000 Low Jr/Am/AO Jumper Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #2,Bruna K. Silva,7,42,2
Horse: H Zambaccio        #19681   ,"Large Junior Hunter 3'6""","$400 Junior Hunter 3'6"" 16-17",World Equestrian Ocala Winter Spectacular #6,CATALINA PERALTA,6,21,3
Horse: H. Devereux        #12108   ,"USHJA 2'6"" Hunter","USHJA Hunter 2'6"" U/S",World Equestrian Center Winter Classic #7,Michaella T. Gerlacher,7,15,2
Horse: Habanera Rhf        #17464   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Bruce Goodin,4,46,5
Horse: Hagelin        #19393   ,High Jr/AO Jumper,$1500 High MJr/Am/Am Own 1.40m/1.45m 339.a,World Equestrian Ocala Winter Spectacular #7,Erin E. Haas,3,13,6
Horse: Hakuna Matata        #22633   ,Open Jumper by Points,$1000 1.30 Meter Jumper 2.2b,World Equestrian Center Winter Classic #19,Summer K. Hill,1,10,10
Horse: Halcyon        #22125   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #12,Katie Gehrt,5,28,4
Horse: Halcyon        #21686   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #11,Katie Gehrt,6,30,3
Horse: Halcyon        #22113   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9""",World Equestrian Ocala Winter Spectacular #12,Ashley B. Holsinger,8,30,1
Horse: Halcyon        #21655   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #11,Ashley B. Holsinger,2,20,7
Horse: Halifax        #17666   ,Green Hunter 3',"$150 Green Hunter 3'0"" U/S",World Equestrian Ocala Winter Spectacular #1,Christie Saunders,8,12,1
Horse: Halifax KDW Z        #21192   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #9,Carly Campbell-Cooper,3,38,6
Horse: Halladay        #17007   ,Novice Children's/Adult Jumper,$500 Novice Adult Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #10,Katie Stabley,4,10,5
Horse: Hallaus        #18760   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #3,Chris Locke,3,17,6
Horse: Halston        #17770   ,"Green Hunter 3'3""","$150 Green Hunter 3'3"" U/S",World Equestrian Ocala Winter Spectacular #2,Holly Shepherd,5,17,4
Horse: Halston        #21707   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #11,Veronica Foster,5,14,4
Horse: Hamilton        #14978   ,Modified Children's/Adult Jumper,$3000 Modified Child/Adult Classic 1.15m 340.c,World Equestrian Ocala Winter Spectacular #10,Gina Laughlin,11,16,0
Horse: Hamilton        #19938   ,"Green Hunter 3'6""","$600 Green Handy Hunter 3'6""",World Equestrian Ocala Winter Spectacular #7,Kathleen Caya,8,12,1
Horse: Hamilton Du Chapitre        #17460   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Jayme Taylor,9,46,0
Horse: Hampton Prince        #22302   ,"USHJA/NSBA 2'6"" Hunter","USHJA Hunter 2'6"" (California Split)",World Equestrian Center Winter Classic #17,Chey Chaney,5,45,4
Horse: Hancocks Watch Paulo        #21136   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #9,Bryanna Baldock,4,19,5
Horse: Handmade        #17935   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #2,Ellen Baehr,6,16,3
Horse: Hands Up        #19490   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #6,Linda Crothers,2,32,7
Horse: Handsome        #15711   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #6,Kasey Wares,3,28,6
Horse: hannajottie vdm        #16865   ,1.25m Jumper,$600 1.25 Meter Jumper 339.cb,World Equestrian Ocala Winter Spectacular #2,Devin M. Milan,1,5,8
Horse: Hanover On The Rocks        #21095   ,Intermediate Children's Hunter,$50 Intermediate Children's Hunter U/S,World Equestrian Ocala Winter Spectacular #9,Reece Williams,5,12,4
Horse: Happiness Vd Hazel Hof        #21013   ,1.40m Jumper,$10000 1.40 Meter Jumper Classic 340.c,World Equestrian Ocala Winter Spectacular #8,Grace Long,3,13,6
Horse: Happiness Vd Hazel Hof        #19857   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #6,Grace Long,7,19,2
Horse: Happy        #18826   ,Children's Hunter 15-17,$100 Children's Hunter 15-17 U/S,World Equestrian Ocala Winter Spectacular #4,Lainie Mikeska,1,12,10
Horse: Happy Hour        #16347   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #19,Claire Varvel,7,22,2
Horse: Happy Melody De La Defliere        #19052   ,Medium Jr/AO Jumper,$5000 Medium Jr/Am/AO Classic 1.30m 340.c,World Equestrian Ocala Winter Spectacular #8,Sabrina Lefebvre,4,28,5
Horse: Happy Place        #19322   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #5,Coryn Calabrese,3,16,6
Horse: Happy Place        #21805   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #11,Coryn Calabrese,8,23,1
Horse: Happy Thought        #17982   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9""",World Equestrian Ocala Winter Spectacular #2,Havens Schatt,7,23,2
Horse: Happy Wandor Vant Roosakker        #18195   ,1.40m Jumper,$10000 1.40 Meter Jumper Classic 340.c,World Equestrian Ocala Winter Spectacular #6,Carlos Ramirez,6,22,3
Horse: Harbor Walk        #21647   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" (California Split)",World Equestrian Ocala Winter Spectacular #11,Valerie Michael,2,41,7
Horse: Harbour Lights        #15973   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #9,Susan Kovalik,8,19,1
Horse: Hargane Vd Potaarde        #18247   ,1.45m Jumper,$1500 1.45m Jumper 339.a,World Equestrian Ocala Winter Spectacular #4,Angela Gonzalez,7,7,2
Horse: Hargo Des Bons Villes        #16844   ,1.20m Jumper,$500 1.20 Meter Jumper 2.1,World Equestrian Center Winter Classic #17,Richard P. Cheska,7,7,2
Horse: Haribo        #16271   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9""",World Equestrian Ocala Winter Spectacular #7,Sam Berry,4,46,5
Horse: Harlow Gold        #19191   ,USHJA/NSBA 2' Hunter,USHJA Hunter 2' U/S,World Equestrian Center Winter Classic #19,Sienna Rossano,3,16,6
Horse: Harly Hero        #20305   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #7,Samuel Jimenez,7,39,2
Horse: Harmonie De La Cense        #16491   ,Novice Children's/Adult Jumper,$500 Novice Children's Jumper .90-.95m,World Equestrian Ocala Winter Spectacular #5,Katelyn Lantzer,1,15,10
Horse: Harmony Van Olland        #18115   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #2,Evelyn Smith,1,22,10
Horse: Harry Potter        #11932   ,Low Children's Jumper,Low Children's Jumper 1.00m,World Equestrian Center Winter Classic #10,Anabela Vivero,2,11,7
Horse: Harvard N Yale        #20339   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #7,Helena Ogburn,3,19,6
Horse: Harvest Moon        #22078   ,Modified Children's/Adult Jumper,$3000 Modified Child/Adult Jumper Classic 1.15m,World Equestrian Ocala Winter Spectacular #12,Chelsea A. Stopford,5,18,4
Horse: Harvey        #17727   ,1.35m Jumper,$1000 1.35 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #1,Kyle Dewar,6,12,3
Horse: Harvey        #19798   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #6,Johnathan Farmer,7,16,2
Horse: Harvey        #22131   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #12,Johnathan Farmer,4,18,5
Horse: Hat Trick        #17518   ,1.25m Jumper,$600 1.25 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #3,Jake Parker Wymard,7,10,2
Horse: Hatari        #21703   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #11,Lee A. Hughes,3,19,6
Horse: Hatful of Hollow        #14832   ,Thoroughbred Hunter,Thoroughbred Hunter,World Equestrian Ocala Winter Spectacular #9,Claire Burke,1,4,8
Horse: Havana        #18349   ,"Green Hunter 3'3""","$350 Green Hunter 3'3""",World Equestrian Ocala Winter Spectacular #7,Havens Schatt,1,14,10
Horse: Havana        #17667   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #1,Havens Schatt,1,13,10
Horse: Havana II        #18359   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #2,Carly Miller,6,16,3
Horse: Havanta Cassini        #18947   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #4,Eliot J. Schmitt,9,21,0
